,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000,outliers_lof_0.01_20,outliers_lof_0.01_35,outliers_lof_0.01_50,outliers_lof_0.05_20,outliers_lof_0.05_35,outliers_lof_0.05_50,outliers_lof_0.1_20,outliers_lof_0.1_35,outliers_lof_0.1_50
43,750.0,flat,rent,65.0,True,2,1,Madrid,Leganés,13081.0,good,False,desconocido,Valdepelayo - Montepinos - Arroyo Culebro,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2419354838709677,0.2286352436495134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,695.0,flat,rent,65.0,True,2,1,Madrid,Coslada,13904.0,good,False,desconocido,Valleaguado - La Cañada,True,desconocido,0.2419354838709677,0.2432240795561307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
45,750.0,flat,rent,78.0,True,2,2,Madrid,Torrejón de Ardoz,19719.0,good,False,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.3118279569892473,0.3463031570737241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,620.0,flat,rent,60.0,True,2,1,Madrid,Madrid,7981.0,good,False,desconocido,Villaverde,False,desconocido,0.2150537634408602,0.138230549695992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,500.0,studio,rent,28.0,False,0,1,Madrid,Madrid,769.0,good,False,1,Centro,False,desconocido,0.043010752688172,0.0103876765993653,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
48,550.0,flat,rent,38.0,True,1,1,Madrid,Leganés,10938.0,good,False,desconocido,Centro,False,desconocido,0.0967741935483871,0.1906475457784553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,750.0,flat,rent,46.0,False,1,1,Madrid,Madrid,1476.0,good,False,3,Arganzuela,True,desconocido,0.1397849462365591,0.0229202488788045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,680.0,studio,rent,55.0,True,0,1,Madrid,Madrid,5097.0,good,False,bj,Ciudad Lineal,False,desconocido,0.1881720430107527,0.0871075815858046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
51,700.0,flat,rent,50.0,True,1,2,Madrid,Camarma de Esteruelas,32052.0,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.1612903225806451,0.5649229787460338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,750.0,duplex,rent,35.0,True,1,1,Madrid,Madrid,4047.0,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.0806451612903225,0.0684948504777267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
